time="2022-11-18T18:37:46+05:30" level=info msg="# playfiles selected for load-testing: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="1.     /plays/internal/short_demo/play_greenvn_post.json"
time="2022-11-18T18:37:46+05:30" level=info msg="==============================================================="
time="2022-11-18T18:37:46+05:30" level=info msg="PLAY START: play-A01-Internal-CreateAllocation-API id: A01"
time="2022-11-18T18:37:46+05:30" level=info msg="summary directory created."
time="2022-11-18T18:37:46+05:30" level=info msg="ITERATION START: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="RUN START: act: act-1.001" act_api=LA_GREENVN_CREATE_ALLOCATION act_name=act-1.001 duration_in_second=180 iteration=1 play_id=A01 play_name=play-A01-Internal-CreateAllocation-API rate_per_second=40 rpm=2400 timeout_in_ms=120000 vegeta_keepalive=true
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=11.204609828s seq=242 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.49443073s seq=271 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.484090061s seq=272 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.487658764s seq=273 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.487863792s seq=274 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.492169837s seq=275 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.488351344s seq=276 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.492886528s seq=277 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.487198758s seq=278 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=11.197161902s seq=250 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.490897242s seq=279 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.492227181s seq=280 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.488629129s seq=281 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.493011523s seq=282 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.488126888s seq=283 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.494421275s seq=284 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.487543699s seq=285 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.488003493s seq=286 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.491810005s seq=287 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.491751472s seq=288 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.49032963s seq=289 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.490133933s seq=290 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.490034658s seq=291 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.490007328s seq=292 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.488543899s seq=293 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.492746369s seq=294 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.490693133s seq=295 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.480843559s seq=296 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.491193408s seq=297 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.495998501s seq=298 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.49403356s seq=299 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.489926526s seq=300 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.481522896s seq=301 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.485920749s seq=302 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.493340831s seq=303 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.491642284s seq=304 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.493876531s seq=305 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.488027404s seq=306 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.492431806s seq=307 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.494930131s seq=308 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.494841991s seq=309 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.497362466s seq=310 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.492043613s seq=311 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.492185412s seq=312 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.494165281s seq=313 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.491552618s seq=314 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.486985342s seq=315 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.499123436s seq=316 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.489943421s seq=317 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.491820321s seq=318 status_code=504
