time="2022-11-18T18:36:52+05:30" level=info msg="# playfiles selected for load-testing: 1"
time="2022-11-18T18:36:52+05:30" level=info msg="1.     /plays/internal/short_demo/play_greenvn_post.json"
time="2022-11-18T18:36:52+05:30" level=info msg="==============================================================="
time="2022-11-18T18:36:52+05:30" level=info msg="PLAY START: play-A01-Internal-CreateAllocation-API id: A01"
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=474.148039ms seq=397 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=609.461194ms seq=316 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.044382459s seq=55 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=580.873205ms seq=337 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=394.930953ms seq=449 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.034422419s seq=65 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=395.873555ms seq=450 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.066801827s seq=48 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=401.174293ms seq=448 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=369.429725ms seq=468 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.055783417s seq=58 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=405.863247ms seq=451 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=395.078445ms seq=461 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=478.824819ms seq=413 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=430.145377ms seq=447 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=416.322195ms seq=456 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=382.280027ms seq=480 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=385.904491ms seq=478 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=385.284274ms seq=481 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=388.274703ms seq=479 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=549.305916ms seq=383 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=517.164582ms seq=403 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=348.911218ms seq=505 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.088043151s seq=62 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=385.678273ms seq=484 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=385.072876ms seq=488 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=409.381394ms seq=476 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=712.399163ms seq=296 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.093045508s seq=69 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=393.025037ms seq=489 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=612.356138ms seq=359 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=386.347009ms seq=495 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=399.782813ms seq=487 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=389.118891ms seq=493 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=379.276948ms seq=499 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.095011283s seq=73 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=545.141438ms seq=406 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.102331285s seq=72 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=373.263379ms seq=510 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=536.296021ms seq=414 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=387.258118ms seq=506 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=826.417549ms seq=243 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=546.696999ms seq=419 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.140367329s seq=63 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=409.69033ms seq=502 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=714.262998ms seq=320 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=768.705458ms seq=288 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.136605284s seq=68 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.144565684s seq=66 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=375.632773ms seq=528 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=373.926629ms seq=529 status_code=401
